Model,DPO2002B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.001,
Sample Interval,1.92012e-06,
Filter Frequency,7e+07,
Record Length,5207,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0.6,
Vertical Scale,0.5,
Label,,
TIME,CH1,CH1 Peak Detect
-1.180e-03,-0.84,-0.92
-1.178e-03,-0.84,-0.78
-1.176e-03,-0.84,-0.98
-1.174e-03,-0.88,-0.78
-1.172e-03,-0.9,-1.02
-1.170e-03,-0.94,-0.82
-1.168e-03,-0.84,-0.94
-1.167e-03,-0.94,-0.8
-1.165e-03,-0.82,-0.9
-1.163e-03,-0.82,-0.72
-1.161e-03,-0.76,-0.9
-1.159e-03,-0.84,-0.74
-1.157e-03,-0.82,-0.94
-1.155e-03,-0.86,-0.78
-1.153e-03,-0.88,-0.96
-1.151e-03,-0.86,-0.82
-1.149e-03,-0.94,-0.98
-1.147e-03,-0.9,-0.78
-1.145e-03,-0.88,-0.9
-1.144e-03,-0.8,-0.78
-1.142e-03,-0.88,-0.92
-1.140e-03,-0.82,-0.78
-1.138e-03,-0.88,-0.92
-1.136e-03,-0.84,-0.76
-1.134e-03,-0.82,-0.96
-1.132e-03,-0.92,-0.76
-1.130e-03,-0.9,-0.94
-1.128e-03,-0.86,-0.76
-1.126e-03,-0.84,-0.96
-1.124e-03,-0.92,-0.78
-1.122e-03,-0.8,-0.9
-1.120e-03,-0.86,-0.76
-1.119e-03,-0.78,-0.86
-1.117e-03,-0.8,-0.72
-1.115e-03,-0.78,-0.86
-1.113e-03,-0.82,-0.72
-1.111e-03,-0.78,-0.98
-1.109e-03,-0.9,-0.74
-1.107e-03,-0.92,-1
-1.105e-03,-0.92,-0.84
-1.103e-03,-0.92,-0.98
-1.101e-03,-0.82,-0.74
-1.099e-03,-0.78,-0.88
-1.097e-03,-0.74,-0.7
-1.096e-03,-0.86,-0.88
-1.094e-03,-0.76,-0.72
-1.092e-03,-0.82,-0.96
-1.090e-03,-0.8,-0.74
-1.088e-03,-0.94,-0.98
-1.086e-03,-0.82,-0.78
-1.084e-03,-0.84,-0.9
-1.082e-03,-0.76,-0.72
-1.080e-03,-0.82,-0.92
-1.078e-03,-0.84,-0.72
-1.076e-03,-0.78,-0.96
-1.074e-03,-0.86,-0.74
-1.072e-03,-0.84,-0.9
-1.071e-03,-0.86,-0.72
-1.069e-03,-0.74,-0.84
-1.067e-03,-0.76,-0.66
-1.065e-03,-0.76,-0.82
-1.063e-03,-0.66,-0.6
-1.061e-03,-0.66,-0.82
-1.059e-03,-0.76,-0.64
-1.057e-03,-0.72,-0.88
-1.055e-03,-0.76,-0.68
-1.053e-03,-0.86,-0.98
-1.051e-03,-0.88,-0.8
-1.049e-03,-0.94,-0.94
-1.048e-03,-0.76,-0.72
-1.046e-03,-0.96,-1.02
-1.044e-03,-0.94,-0.88
-1.042e-03,-0.92,-0.96
-1.040e-03,-0.8,-0.76
-1.038e-03,-0.92,-0.94
-1.036e-03,-0.82,-0.7
-1.034e-03,-0.78,-0.94
-1.032e-03,-0.82,-0.68
-1.030e-03,-0.9,-0.94
-1.028e-03,-0.88,-0.76
-1.026e-03,-0.78,-0.84
-1.024e-03,-0.72,-0.64
-1.023e-03,-0.7,-0.84
-1.021e-03,-0.78,-0.64
-1.019e-03,-0.76,-0.88
-1.017e-03,-0.78,-0.7
-1.015e-03,-0.78,-0.86
-1.013e-03,-0.78,-0.7
-1.011e-03,-0.8,-0.94
-1.009e-03,-0.88,-0.76
-1.007e-03,-0.92,-1
-1.005e-03,-0.88,-0.8
-1.003e-03,-0.9,-0.98
-1.001e-03,-0.92,-0.78
-9.995e-04,-0.84,-0.88
-9.976e-04,-0.76,-0.72
-9.957e-04,-0.88,-0.94
-9.937e-04,-0.82,-0.76
-9.918e-04,-0.84,-0.96
-9.899e-04,-0.82,-0.76
-9.880e-04,-0.92,-0.96
-9.861e-04,-0.82,-0.78
-9.841e-04,-0.88,-0.96
-9.822e-04,-0.9,-0.82
-9.803e-04,-0.86,-0.92
-9.784e-04,-0.86,-0.74
-9.765e-04,-0.76,-0.82
-9.745e-04,-0.74,-0.66
-9.726e-04,-0.72,-0.9
-9.707e-04,-0.82,-0.7
-9.688e-04,-0.82,-0.88
-9.669e-04,-0.78,-0.7
-9.649e-04,-0.8,-0.94
-9.630e-04,-0.9,-0.78
-9.611e-04,-0.84,-0.98
-9.592e-04,-0.92,-0.82
-9.573e-04,-0.92,-0.98
-9.553e-04,-0.86,-0.76
-9.534e-04,-0.82,-0.88
-9.515e-04,-0.78,-0.72
-9.496e-04,-0.78,-0.82
-9.477e-04,-0.7,-0.66
-9.457e-04,-0.76,-0.9
-9.438e-04,-0.82,-0.7
-9.419e-04,-0.84,-0.9
-9.400e-04,-0.78,-0.74
-9.381e-04,-0.9,-0.9
-9.361e-04,-0.72,-0.68
-9.342e-04,-0.76,-0.86
-9.323e-04,-0.8,-0.68
-9.304e-04,-0.78,-0.86
-9.285e-04,-0.76,-0.7
-9.265e-04,-0.82,-0.94
-9.246e-04,-0.86,-0.78
-9.227e-04,-0.86,-1.04
-9.208e-04,-1.02,-0.84
-9.189e-04,-0.92,-0.98
-9.169e-04,-0.9,-0.72
-9.150e-04,-0.74,-0.84
-9.131e-04,-0.82,-0.7
-9.112e-04,-0.78,-0.96
-9.093e-04,-0.88,-0.76
-9.073e-04,-0.82,-0.86
-9.054e-04,-0.78,-0.7
-9.035e-04,-0.8,-0.92
-9.016e-04,-0.84,-0.7
-8.997e-04,-0.74,-0.84
-8.977e-04,-0.72,-0.64
-8.958e-04,-0.78,-0.92
-8.939e-04,-0.68,-0.64
-8.920e-04,-0.9,-0.98
-8.901e-04,-0.82,-0.8
-8.881e-04,-0.9,-0.98
-8.862e-04,-0.92,-0.84
-8.843e-04,-0.84,-0.92
-8.824e-04,-0.88,-0.76
-8.805e-04,-0.78,-0.92
-8.785e-04,-0.78,-0.72
-8.766e-04,-0.84,-0.96
-8.747e-04,-0.92,-0.8
-8.728e-04,-0.84,-0.9
-8.709e-04,-0.8,-0.74
-8.689e-04,-0.76,-0.86
-8.670e-04,-0.84,-0.72
-8.651e-04,-0.78,-0.86
-8.632e-04,-0.8,-0.7
-8.613e-04,-0.8,-0.88
-8.593e-04,-0.8,-0.74
-8.574e-04,-0.84,-0.92
-8.555e-04,-0.84,-0.76
-8.536e-04,-0.86,-0.94
-8.517e-04,-0.86,-0.76
-8.497e-04,-0.84,-0.9
-8.478e-04,-0.78,-0.74
-8.459e-04,-0.8,-0.84
-8.440e-04,-0.74,-0.7
-8.421e-04,-0.8,-0.88
-8.401e-04,-0.76,-0.7
-8.382e-04,-0.84,-0.88
-8.363e-04,-0.74,-0.66
-8.344e-04,-0.74,-0.88
-8.325e-04,-0.82,-0.68
-8.305e-04,-0.8,-0.9
-8.286e-04,-0.86,-0.76
-8.267e-04,-0.82,-0.92
-8.248e-04,-0.86,-0.8
-8.229e-04,-0.84,-0.96
-8.209e-04,-0.92,-0.74
