Model,DPO2002B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.2,
Sample Interval,0.000384025,
Filter Frequency,7e+07,
Record Length,5207,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0.6,
Vertical Scale,0.5,
Label,,
TIME,CH1,CH1 Peak Detect
-3.6880e-01,-0.94,-1.16
-3.6842e-01,-0.98,-0.7
-3.6803e-01,-0.88,-1.16
-3.6765e-01,-0.88,-0.68
-3.6726e-01,-0.92,-1.18
-3.6688e-01,-1,-0.68
-3.6650e-01,-0.88,-1.14
-3.6611e-01,-0.9,-0.66
-3.6573e-01,-0.82,-1.16
-3.6534e-01,-1,-0.64
-3.6496e-01,-0.92,-1.18
-3.6458e-01,-0.96,-0.68
-3.6419e-01,-0.94,-1.18
-3.6381e-01,-0.92,-0.66
-3.6342e-01,-0.82,-1.18
-3.6304e-01,-0.94,-0.66
-3.6266e-01,-0.9,-1.16
-3.6227e-01,-0.9,-0.64
-3.6189e-01,-0.84,-1.22
-3.6150e-01,-0.92,-0.7
-3.6112e-01,-0.86,-1.22
-3.6074e-01,-0.86,-0.66
-3.6035e-01,-0.92,-1.18
-3.5997e-01,-0.98,-0.66
-3.5958e-01,-0.76,-1.16
-3.5920e-01,-0.92,-0.64
-3.5882e-01,-0.98,-1.18
-3.5843e-01,-0.98,-0.62
-3.5805e-01,-0.98,-1.16
-3.5766e-01,-0.84,-0.68
-3.5728e-01,-0.84,-1.14
-3.5690e-01,-0.96,-0.66
-3.5651e-01,-0.84,-1.16
-3.5613e-01,-0.82,-0.7
-3.5574e-01,-0.96,-1.18
-3.5536e-01,-0.98,-0.66
-3.5498e-01,-0.94,-1.18
-3.5459e-01,-0.94,-0.72
-3.5421e-01,-0.78,-1.18
-3.5382e-01,-0.88,-0.68
-3.5344e-01,-1.02,-1.18
-3.5305e-01,-1,-0.66
-3.5267e-01,-0.84,-1.14
-3.5229e-01,-0.88,-0.68
-3.5190e-01,-0.94,-1.14
-3.5152e-01,-0.88,-0.64
