Model,DPO2002B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.004,
Sample Interval,7.68049e-06,
Filter Frequency,7e+07,
Record Length,5207,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0.6,
Vertical Scale,0.5,
Label,,
TIME,CH1,CH1 Peak Detect
-7.3760e-03,-1.01,-1.05
-7.3683e-03,-0.93,-0.87
-7.3606e-03,-0.97,-1.05
-7.3530e-03,-0.81,-0.77
-7.3453e-03,-0.93,-1.09
-7.3376e-03,-0.99,-0.83
-7.3299e-03,-1.05,-1.05
-7.3222e-03,-0.93,-0.85
-7.3146e-03,-0.97,-1.15
-7.3069e-03,-0.93,-0.77
-7.2992e-03,-0.97,-1.11
-7.2915e-03,-1.07,-0.87
-7.2838e-03,-1.01,-1.09
-7.2762e-03,-1.03,-0.91
-7.2685e-03,-0.95,-1.09
-7.2608e-03,-0.87,-0.83
-7.2531e-03,-0.91,-1.13
-7.2454e-03,-1.01,-0.89
-7.2378e-03,-1.05,-1.11
-7.2301e-03,-1.01,-0.83
-7.2224e-03,-0.85,-0.99
-7.2147e-03,-0.85,-0.77
-7.2070e-03,-0.85,-1.03
-7.1993e-03,-0.89,-0.81
-7.1917e-03,-1.01,-1.11
-7.1840e-03,-1.07,-0.89
-7.1763e-03,-1.03,-1.11
-7.1686e-03,-0.85,-0.77
-7.1609e-03,-0.99,-1.23
-7.1533e-03,-1.05,-0.87
-7.1456e-03,-1.03,-1.11
-7.1379e-03,-1.01,-0.87
-7.1302e-03,-1.07,-1.15
-7.1225e-03,-0.95,-0.89
-7.1149e-03,-1.01,-1.09
-7.1072e-03,-0.95,-0.81
-7.0995e-03,-0.97,-1.09
-7.0918e-03,-1.07,-0.83
-7.0841e-03,-1.05,-1.11
-7.0765e-03,-1.03,-0.91
-7.0688e-03,-0.95,-1.07
-7.0611e-03,-0.97,-0.85
-7.0534e-03,-0.93,-1.07
-7.0457e-03,-0.95,-0.87
-7.0381e-03,-1.03,-1.13
-7.0304e-03,-0.93,-0.79
-7.0227e-03,-0.83,-1.09
-7.0150e-03,-0.97,-0.79
-7.0073e-03,-0.91,-0.99
-6.9997e-03,-0.81,-0.71
-6.9920e-03,-0.95,-1.13
-6.9843e-03,-1.09,-0.85
-6.9766e-03,-0.97,-1.11
-6.9689e-03,-1.01,-0.77
-6.9613e-03,-0.87,-1.11
-6.9536e-03,-0.99,-0.85
-6.9459e-03,-1.07,-1.11
-6.9382e-03,-1.05,-0.83
-6.9305e-03,-0.97,-1.07
-6.9228e-03,-0.91,-0.87
-6.9152e-03,-0.97,-1.05
-6.9075e-03,-0.93,-0.83
-6.8998e-03,-0.93,-1.05
-6.8921e-03,-0.97,-0.83
-6.8844e-03,-0.95,-1.07
-6.8768e-03,-0.91,-0.87
-6.8691e-03,-0.97,-1.07
-6.8614e-03,-0.83,-0.81
-6.8537e-03,-0.99,-1.03
-6.8460e-03,-0.99,-0.75
-6.8384e-03,-0.83,-1.15
-6.8307e-03,-1.07,-0.73
-6.8230e-03,-1.03,-1.17
-6.8153e-03,-1.05,-0.93
-6.8076e-03,-1.09,-1.15
-6.8000e-03,-0.95,-0.89
-6.7923e-03,-1.09,-1.19
-6.7846e-03,-1.09,-0.93
-6.7769e-03,-1.05,-1.17
-6.7692e-03,-1.01,-0.93
-6.7616e-03,-0.99,-1.07
-6.7539e-03,-0.93,-0.85
-6.7462e-03,-0.97,-1.11
-6.7385e-03,-1.03,-0.87
-6.7308e-03,-0.99,-1.03
-6.7232e-03,-0.81,-0.77
-6.7155e-03,-0.91,-1.09
-6.7078e-03,-0.85,-0.79
-6.7001e-03,-1.05,-1.13
-6.6924e-03,-0.99,-0.83
-6.6848e-03,-0.89,-1.05
-6.6771e-03,-0.93,-0.83
-6.6694e-03,-0.97,-1.09
-6.6617e-03,-0.89,-0.81
-6.6540e-03,-0.99,-1.07
-6.6464e-03,-0.93,-0.73
-6.6387e-03,-0.87,-1.07
-6.6310e-03,-0.87,-0.77
-6.6233e-03,-0.99,-1.15
-6.6156e-03,-0.95,-0.87
-6.6079e-03,-1.01,-1.07
-6.6003e-03,-0.99,-0.81
-6.5926e-03,-1.01,-1.09
-6.5849e-03,-0.91,-0.85
-6.5772e-03,-0.95,-1.11
-6.5695e-03,-0.93,-0.85
-6.5619e-03,-1.01,-1.11
-6.5542e-03,-0.93,-0.83
-6.5465e-03,-0.95,-1.15
-6.5388e-03,-1.03,-0.87
-6.5311e-03,-0.99,-1.17
-6.5235e-03,-1.05,-0.95
-6.5158e-03,-0.97,-1.05
-6.5081e-03,-0.89,-0.81
-6.5004e-03,-0.99,-1.05
-6.4927e-03,-0.93,-0.81
-6.4851e-03,-0.89,-1.11
-6.4774e-03,-0.87,-0.83
-6.4697e-03,-0.95,-1.15
-6.4620e-03,-0.97,-0.91
-6.4543e-03,-1.05,-1.13
-6.4467e-03,-1.05,-0.85
-6.4390e-03,-0.93,-1.11
-6.4313e-03,-0.95,-0.85
-6.4236e-03,-1.01,-1.13
-6.4159e-03,-0.97,-0.91
-6.4083e-03,-1.07,-1.15
-6.4006e-03,-0.93,-0.81
-6.3929e-03,-0.93,-1.13
-6.3852e-03,-1.07,-0.83
-6.3775e-03,-0.95,-1.05
-6.3699e-03,-0.87,-0.73
-6.3622e-03,-0.87,-1.11
-6.3545e-03,-0.97,-0.79
-6.3468e-03,-1.09,-1.09
-6.3391e-03,-0.91,-0.83
-6.3315e-03,-0.97,-1.15
-6.3238e-03,-0.97,-0.89
-6.3161e-03,-1.01,-1.07
-6.3084e-03,-0.89,-0.75
-6.3007e-03,-1.05,-1.17
-6.2930e-03,-1.09,-0.93
-6.2854e-03,-1.01,-1.13
-6.2777e-03,-0.89,-0.83
-6.2700e-03,-1.05,-1.17
-6.2623e-03,-0.99,-0.93
-6.2546e-03,-1.05,-1.09
-6.2470e-03,-1.03,-0.83
-6.2393e-03,-0.99,-1.21
-6.2316e-03,-0.89,-0.85
-6.2239e-03,-1.15,-1.21
-6.2162e-03,-1.07,-0.93
-6.2086e-03,-1.03,-1.09
-6.2009e-03,-1.01,-0.91
-6.1932e-03,-0.99,-1.13
-6.1855e-03,-1.05,-0.89
-6.1778e-03,-1.01,-1.17
-6.1702e-03,-1.05,-0.93
-6.1625e-03,-0.99,-1.07
-6.1548e-03,-1.01,-0.83
-6.1471e-03,-0.93,-1.13
-6.1394e-03,-1.03,-0.85
-6.1318e-03,-0.97,-1.13
-6.1241e-03,-0.93,-0.83
-6.1164e-03,-1.05,-1.17
-6.1087e-03,-1.15,-0.83
-6.1010e-03,-1.03,-1.13
-6.0934e-03,-0.99,-0.83
-6.0857e-03,-0.93,-1.11
-6.0780e-03,-0.99,-0.79
-6.0703e-03,-0.83,-1.03
-6.0626e-03,-0.97,-0.77
-6.0550e-03,-1.03,-1.07
-6.0473e-03,-0.97,-0.85
-6.0396e-03,-0.95,-1.13
-6.0319e-03,-0.95,-0.89
-6.0242e-03,-0.99,-1.07
-6.0166e-03,-0.99,-0.87
