Model,DPO2002B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.2,
Sample Interval,0.000384025,
Filter Frequency,7e+07,
Record Length,5208,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0.6,
Vertical Scale,0.5,
Label,,
TIME,CH1,CH1 Peak Detect
-2.0480e-01,-0.96,-1.24
-2.0442e-01,-0.98,-0.72
-2.0403e-01,-1.06,-1.22
-2.0365e-01,-0.98,-0.78
-2.0326e-01,-0.96,-1.26
-2.0288e-01,-0.96,-0.76
-2.0250e-01,-1,-1.26
-2.0211e-01,-1.04,-0.76
-2.0173e-01,-1.14,-1.24
-2.0134e-01,-1.06,-0.76
-2.0096e-01,-1.02,-1.26
-2.0058e-01,-1.04,-0.76
-2.0019e-01,-1.02,-1.26
-1.9981e-01,-0.9,-0.8
-1.9942e-01,-1.02,-1.3
-1.9904e-01,-0.98,-0.76
-1.9866e-01,-1.06,-1.3
-1.9827e-01,-1.16,-0.74
-1.9789e-01,-1.1,-1.24
-1.9750e-01,-0.98,-0.72
-1.9712e-01,-1.02,-1.28
-1.9674e-01,-1.04,-0.74
-1.9635e-01,-0.94,-1.26
-1.9597e-01,-1.06,-0.72
-1.9558e-01,-0.8,-1.26
-1.9520e-01,-0.96,-0.7
-1.9482e-01,-1.04,-1.22
-1.9443e-01,-1.02,-0.76
-1.9405e-01,-1.08,-1.24
-1.9366e-01,-0.94,-0.8
-1.9328e-01,-0.92,-1.28
-1.9290e-01,-1.08,-0.72
-1.9251e-01,-1.02,-1.24
-1.9213e-01,-1.02,-0.76
-1.9174e-01,-1.06,-1.28
-1.9136e-01,-1.08,-0.72
-1.9098e-01,-1.06,-1.28
-1.9059e-01,-1.08,-0.76
-1.9021e-01,-1.1,-1.22
-1.8982e-01,-1.04,-0.74
-1.8944e-01,-0.98,-1.22
-1.8905e-01,-1.02,-0.74
-1.8867e-01,-1.14,-1.24
-1.8829e-01,-1,-0.72
-1.8790e-01,-1.08,-1.26
