Model,DPO2002B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.002,
Sample Interval,3.84025e-06,
Filter Frequency,7e+07,
Record Length,5208,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0.6,
Vertical Scale,0.5,
Label,,
TIME,CH1,CH1 Peak Detect
-2.0480e-03,-1,-1.12
-2.0442e-03,-1.06,-0.96
-2.0403e-03,-1,-1.16
-2.0365e-03,-1,-0.92
-2.0326e-03,-1.12,-1.16
-2.0288e-03,-1.12,-0.98
-2.0250e-03,-1.08,-1.1
-2.0211e-03,-0.96,-0.88
-2.0173e-03,-1,-1.08
-2.0134e-03,-0.98,-0.9
-2.0096e-03,-1,-1.12
-2.0058e-03,-0.98,-0.92
-2.0019e-03,-0.98,-1.14
-1.9981e-03,-1.02,-0.96
-1.9942e-03,-1.02,-1.08
-1.9904e-03,-1,-0.94
-1.9866e-03,-1.02,-1.08
-1.9827e-03,-1,-0.92
-1.9789e-03,-1.08,-1.14
-1.9750e-03,-1.08,-0.8
-1.9712e-03,-0.98,-1.1
-1.9674e-03,-1.06,-0.9
-1.9635e-03,-1.06,-1.1
-1.9597e-03,-1.04,-0.9
-1.9558e-03,-0.94,-1.02
-1.9520e-03,-0.9,-0.86
-1.9482e-03,-0.88,-1.2
-1.9443e-03,-1.1,-0.86
-1.9405e-03,-1.04,-1.12
-1.9366e-03,-1.02,-0.94
-1.9328e-03,-1.02,-1.1
-1.9290e-03,-1.02,-0.88
-1.9251e-03,-0.96,-1.04
-1.9213e-03,-0.88,-0.82
-1.9174e-03,-1.02,-1.12
-1.9136e-03,-0.98,-0.92
-1.9098e-03,-1.02,-1.12
-1.9059e-03,-1.02,-0.84
-1.9021e-03,-0.8,-1.14
-1.8982e-03,-0.96,-0.74
-1.8944e-03,-1.06,-1.16
-1.8905e-03,-1.08,-0.88
-1.8867e-03,-0.94,-1.08
-1.8829e-03,-1.06,-0.86
-1.8790e-03,-0.98,-1
-1.8752e-03,-0.96,-0.84
-1.8713e-03,-0.94,-1.06
-1.8675e-03,-1,-0.82
-1.8637e-03,-0.92,-1.2
-1.8598e-03,-1.14,-0.88
-1.8560e-03,-1.1,-1.18
-1.8521e-03,-1.04,-0.92
-1.8483e-03,-1.02,-1.12
-1.8445e-03,-0.94,-0.9
-1.8406e-03,-1.06,-1.16
-1.8368e-03,-1.12,-0.98
-1.8329e-03,-1.1,-1.12
-1.8291e-03,-1,-0.92
-1.8253e-03,-1.08,-1.14
-1.8214e-03,-1.02,-0.94
-1.8176e-03,-1.02,-1.1
-1.8137e-03,-1.02,-0.94
-1.8099e-03,-0.96,-1.06
-1.8061e-03,-0.9,-0.86
-1.8022e-03,-0.86,-1.08
-1.7984e-03,-1.02,-0.82
-1.7945e-03,-0.94,-1.04
-1.7907e-03,-0.98,-0.9
-1.7869e-03,-1,-1.14
-1.7830e-03,-1.04,-0.94
-1.7792e-03,-1.06,-1.16
-1.7753e-03,-1.1,-0.98
-1.7715e-03,-1.12,-1.18
-1.7677e-03,-1.04,-0.86
-1.7638e-03,-0.92,-1.14
-1.7600e-03,-0.98,-0.86
-1.7561e-03,-1.06,-1.14
-1.7523e-03,-0.98,-0.94
-1.7485e-03,-0.96,-1.1
-1.7446e-03,-0.94,-0.9
-1.7408e-03,-1.04,-1.2
-1.7369e-03,-1.1,-0.98
-1.7331e-03,-1.16,-1.2
-1.7293e-03,-1.06,-0.98
-1.7254e-03,-1.06,-1.14
-1.7216e-03,-1.08,-0.96
-1.7177e-03,-1.08,-1.2
-1.7139e-03,-1.1,-1
-1.7101e-03,-1,-1.08
-1.7062e-03,-0.86,-0.82
-1.7024e-03,-0.96,-1.1
-1.6985e-03,-1.02,-0.92
-1.6947e-03,-0.98,-1.14
-1.6909e-03,-1.06,-0.94
-1.6870e-03,-1.02,-1.04
-1.6832e-03,-0.98,-0.86
-1.6793e-03,-1.02,-1.08
-1.6755e-03,-1,-0.9
-1.6717e-03,-0.94,-1.04
-1.6678e-03,-0.96,-0.88
-1.6640e-03,-0.94,-1.16
-1.6601e-03,-1.02,-0.9
-1.6563e-03,-1.08,-1.18
-1.6525e-03,-1.08,-1.02
-1.6486e-03,-1.04,-1.14
-1.6448e-03,-0.98,-0.92
-1.6409e-03,-1.02,-1.1
-1.6371e-03,-0.98,-0.8
-1.6333e-03,-1,-1.06
-1.6294e-03,-0.98,-0.86
-1.6256e-03,-1.02,-1.06
-1.6217e-03,-1,-0.88
-1.6179e-03,-0.96,-1.06
-1.6141e-03,-0.92,-0.88
-1.6102e-03,-0.96,-1.06
-1.6064e-03,-0.94,-0.88
-1.6025e-03,-0.88,-1.06
-1.5987e-03,-0.9,-0.8
-1.5949e-03,-1.04,-1.18
-1.5910e-03,-1.12,-0.94
-1.5872e-03,-1,-1.1
-1.5833e-03,-1,-0.84
-1.5795e-03,-1.02,-1.1
-1.5756e-03,-1.02,-0.92
-1.5718e-03,-1.04,-1.08
-1.5680e-03,-0.96,-0.94
-1.5641e-03,-1,-1.1
-1.5603e-03,-1.02,-0.94
-1.5564e-03,-0.92,-1.04
-1.5526e-03,-0.94,-0.82
-1.5488e-03,-0.86,-1.02
-1.5449e-03,-0.92,-0.82
-1.5411e-03,-1.04,-1.06
-1.5372e-03,-0.98,-0.78
-1.5334e-03,-0.82,-1.08
-1.5296e-03,-0.92,-0.7
-1.5257e-03,-1.06,-1.12
-1.5219e-03,-1.06,-0.92
-1.5180e-03,-0.96,-1.08
-1.5142e-03,-0.92,-0.88
-1.5104e-03,-0.92,-1.1
-1.5065e-03,-0.94,-0.86
-1.5027e-03,-1,-1.18
-1.4988e-03,-1.02,-0.96
-1.4950e-03,-1.04,-1.1
-1.4912e-03,-0.96,-0.88
-1.4873e-03,-1.06,-1.08
-1.4835e-03,-1.04,-0.88
-1.4796e-03,-0.94,-1.04
-1.4758e-03,-0.94,-0.86
-1.4720e-03,-0.98,-1.04
-1.4681e-03,-0.9,-0.84
-1.4643e-03,-0.86,-0.98
-1.4604e-03,-0.86,-0.82
-1.4566e-03,-0.88,-1.18
-1.4528e-03,-1.04,-0.82
-1.4489e-03,-1.02,-1.06
-1.4451e-03,-0.96,-0.84
-1.4412e-03,-1.06,-1.1
-1.4374e-03,-0.98,-0.92
-1.4336e-03,-1.1,-1.18
-1.4297e-03,-1.18,-0.88
-1.4259e-03,-0.96,-1.04
-1.4220e-03,-0.9,-0.84
-1.4182e-03,-0.96,-1.1
-1.4144e-03,-0.98,-0.88
-1.4105e-03,-1,-1.16
-1.4067e-03,-1.02,-0.98
-1.4028e-03,-1.06,-1.14
-1.3990e-03,-1.08,-0.94
-1.3952e-03,-0.98,-1.12
-1.3913e-03,-1.04,-0.94
-1.3875e-03,-1.04,-1.14
-1.3836e-03,-1.12,-0.92
-1.3798e-03,-1.04,-1.08
-1.3760e-03,-1.02,-0.86
-1.3721e-03,-0.96,-1.12
-1.3683e-03,-1,-0.88
-1.3644e-03,-0.94,-1.14
-1.3606e-03,-1,-0.9
-1.3568e-03,-1.08,-1.12
-1.3529e-03,-0.98,-0.86
-1.3491e-03,-0.92,-1.02
-1.3452e-03,-0.96,-0.82
-1.3414e-03,-0.96,-1.08
-1.3376e-03,-0.96,-0.8
-1.3337e-03,-0.98,-1.1
-1.3299e-03,-1.06,-0.88
-1.3260e-03,-0.92,-1.08
-1.3222e-03,-1.02,-0.86
-1.3184e-03,-0.96,-1.08
